!! This surface is a combination of the following surfaces:
!! methanol-attack/methanol-attack.txt
!! acetyl-leaving/acetyl-leaving.txt
!! This surface is based upon a LD surface
!! Variables are -
!! Xvar Yvar GasSCF dGasSCF DeltaG dDeltaG DeltaGld dDeltaGld sum sumld surface
1.80 1.80 -1513.338690 188.71 -459.42 -162.97 -473.12 -158.97 28.14 32.14 !! methanol-attack/methanol-attack.txt
1.80 1.85 -1513.346820 183.61 -458.18 -161.73 -472.63 -158.48 24.28 27.53 !! methanol-attack/methanol-attack.txt
1.80 1.90 -1513.353149 179.64 -457.00 -160.55 -471.62 -157.47 21.49 24.57 !! methanol-attack/methanol-attack.txt
1.80 1.95 -1513.358054 176.56 -456.07 -159.62 -470.28 -156.13 19.34 22.30 !!22.83 !! methanol-attack/methanol-attack.txt
1.80 2.00 -1513.361783 174.22 -454.81 -158.36 -471.49 -157.34 18.26 20.29 !! 19.28 old !! methanol-attack/methanol-attack.txt
1.80 2.05 -1513.364751 172.35 -453.78 -157.33 -470.08 -155.93 17.42 18.20 !!18.82 !! methanol-attack/methanol-attack.txt
1.80 2.10 -1513.366996 170.95 -452.89 -156.44 -469.87 -155.72 16.91 17.63 !! methanol-attack/methanol-attack.txt
1.80 2.15 -1513.368744 169.85 -451.59 -155.14 -469.13 -154.98 17.11 17.27 !! methanol-attack/methanol-attack.txt
1.80 2.20 -1513.370024 169.05 -450.61 -154.16 -468.87 -154.72 17.29 16.73 !! methanol-attack/methanol-attack.txt
1.80 2.25 -1513.371182 168.32 -449.47 -153.02 -468.41 -154.26 17.70 16.46 !! methanol-attack/methanol-attack.txt
1.80 2.30 -1513.372177 167.69 -448.47 -152.02 -467.82 -153.67 18.07 16.42 !! methanol-attack/methanol-attack.txt
1.80 2.35 -1513.373076 167.13 -447.45 -151.00 -467.68 -153.53 18.53 16.00 !! methanol-attack/methanol-attack.txt
1.80 2.40 -1513.373935 166.59 -446.44 -149.99 -467.42 -153.27 19.00 15.72 !! methanol-attack/methanol-attack.txt
1.80 2.45 -1513.374807 166.04 -445.39 -148.94 -467.17 -153.02 19.50 15.42 !! methanol-attack/methanol-attack.txt
1.80 2.50 -1513.375659 165.51 -444.76 -148.31 -466.53 -152.38 19.60 15.53 !! methanol-attack/methanol-attack.txt
1.80 2.55 -1513.376522 164.97 -444.15 -147.70 -466.56 -152.41 19.67 14.96 !! methanol-attack/methanol-attack.txt
1.80 2.60 -1513.377415 164.41 -443.50 -147.05 -466.11 -151.96 19.76 14.85 !! methanol-attack/methanol-attack.txt
1.80 2.65 -1513.378353 163.82 -442.85 -146.40 -466.10 -151.95 19.82 14.27 !! methanol-attack/methanol-attack.txt
1.80 2.70 -1513.379342 163.20 -442.25 -145.80 -465.73 -151.58 19.80 14.02 !! methanol-attack/methanol-attack.txt
1.80 2.75 -1513.380388 162.54 -440.88 -144.43 -465.37 -151.22 20.51 13.72 !! methanol-attack/methanol-attack.txt
1.80 2.80 -1513.381497 161.85 -440.81 -144.36 -464.85 -150.70 19.89 13.55 !! methanol-attack/methanol-attack.txt
1.80 2.85 -1513.382675 161.11 -439.40 -142.95 -464.79 -150.64 20.56 12.87 !! methanol-attack/methanol-attack.txt
1.80 2.90 -1513.383952 160.31 -438.16 -141.71 -464.12 -149.97 21.00 12.74 !! methanol-attack/methanol-attack.txt
1.80 2.95 -1513.385375 159.41 -436.63 -140.18 -464.15 -150.00 21.63 11.81 !! methanol-attack/methanol-attack.txt
1.80 3.00 -1513.386964 158.42 -434.33 -137.88 -462.60 -148.45 22.94 11.12 !! original:12.37 !! methanol-attack/methanol-attack.txt
1.80 3.05 -1513.388645 157.36 -433.16 -136.71 -463.16 -149.01 23.05 10.75 !! methanol-attack/methanol-attack.txt
1.80 3.10 -1513.390383 156.27 -432.21 -135.76 -463.19 -149.04 22.91 9.63 !! methanol-attack/methanol-attack.txt
1.80 3.15 -1513.392120 155.18 -431.53 -135.08 -462.70 -148.55 22.50 9.03 !! methanol-attack/methanol-attack.txt
1.80 3.20 -1513.393857 154.09 -430.87 -134.42 -462.61 -148.46 22.07 8.03 !! methanol-attack/methanol-attack.txt
1.80 3.25 -1513.395577 153.01 -430.19 -133.74 -461.90 -147.75 21.67 7.66 !! methanol-attack/methanol-attack.txt
1.80 3.30 -1513.397311 151.92 -429.49 -133.04 -461.54 -147.39 21.28 6.93 !! methanol-attack/methanol-attack.txt

1.85 1.80 -1513.350088 181.56 -458.39 -161.94 -472.52 -158.37 22.02 25.59 !! methanol-attack/methanol-attack.txt
1.85 1.85 -1513.357990 176.60 -457.22 -160.77 -471.63 -157.48 18.23 21.52 !! methanol-attack/methanol-attack.txt
1.85 1.90 -1513.364086 172.77 -455.91 -159.46 -470.59 -156.44 15.71 18.73 !! methanol-attack/methanol-attack.txt
1.85 1.95 -1513.368764 169.84 -454.26 -157.81 -469.19 -155.04 14.43 17.20 !! methanol-attack/methanol-attack.txt
1.85 2.00 -1513.372290 167.62 -453.04 -156.59 -470.91 -156.76 13.43 14.73 !! old 13.26 !! methanol-attack/methanol-attack.txt
1.85 2.05 -1513.375018 165.91 -452.56 -156.11 -468.96 -154.81 12.20 13.50 !! methanol-attack/methanol-attack.txt
1.85 2.10 -1513.377051 164.64 -451.49 -155.04 -468.41 -154.26 12.00 12.78 !! methanol-attack/methanol-attack.txt
1.85 2.15 -1513.378593 163.67 -450.49 -154.04 -468.40 -154.25 12.03 11.82 !! methanol-attack/methanol-attack.txt
1.85 2.20 -1513.379715 162.96 -449.26 -152.81 -468.14 -153.99 12.55 11.37 !! methanol-attack/methanol-attack.txt
1.85 2.25 -1513.380687 162.35 -448.10 -151.65 -467.52 -153.37 13.10 11.38 !! methanol-attack/methanol-attack.txt
1.85 2.30 -1513.381503 161.84 -447.04 -150.59 -466.60 -152.45 13.65 11.79 !! methanol-attack/methanol-attack.txt
1.85 2.35 -1513.382231 161.39 -445.97 -149.52 -466.55 -152.40 14.27 11.39 !! methanol-attack/methanol-attack.txt
1.85 2.40 -1513.382929 160.95 -444.91 -148.46 -466.22 -152.07 14.89 11.28 !! methanol-attack/methanol-attack.txt
1.85 2.45 -1513.383647 160.50 -443.81 -147.36 -465.80 -151.65 15.54 11.25 !! methanol-attack/methanol-attack.txt
1.85 2.50 -1513.384359 160.05 -443.16 -146.71 -465.55 -151.40 15.74 11.05 !! methanol-attack/methanol-attack.txt
1.85 2.55 -1513.385089 159.59 -442.54 -146.09 -465.16 -151.01 15.90 10.98 !! methanol-attack/methanol-attack.txt
1.85 2.60 -1513.385858 159.11 -441.79 -145.34 -464.96 -150.81 16.17 10.70 !! methanol-attack/methanol-attack.txt
